Rapport jour piscine notifications (Log started: 2021-03-26T13:55:12.790249+00:00)
Heure, energie consommée, temps de fonctionnement pompe (depuis 25/08/2022)
--------------------------------------------------------------------------------
2021-06-26T21:59:05.050713+00:00 12h 25m,10.0
2021-06-27T21:59:05.036518+00:00 11h 57m,8.0
2021-06-28T07:10:46.012603+00:00 0m,1.0
2021-06-28T07:13:18.386151+00:00 1m,1.0
2021-06-28T21:59:05.039148+00:00 10h 51m,10.0
2021-06-29T21:59:05.110828+00:00 9h 55m,8.0
2021-06-30T21:59:05.029231+00:00 9h 8m,8.0
2021-07-01T21:59:05.033694+00:00 11h 14m,10.0
2021-07-02T21:59:05.441399+00:00 13h 26m,11.0
2021-07-03T21:59:05.029316+00:00 13h 21m,11.0
2021-07-04T21:59:05.026232+00:00 12h 36m,11.0
2021-07-05T21:59:05.028923+00:00 13h 56m,12.0
2021-07-06T21:59:05.072534+00:00 13h 6m,11.0
2021-07-07T21:59:05.024000+00:00 12h 20m,10.0
2021-07-09T21:59:05.032222+00:00 17h 17m,16.0
2021-07-10T21:59:05.481655+00:00 12h 9m,10.0
2021-07-11T21:59:05.544691+00:00 13h 41m,12.0
2021-07-12T13:57:49.699049+00:00 6h 43m,5.0
2021-07-12T21:59:05.031024+00:00 12h 6m,10.0
2021-07-13T21:59:05.029077+00:00 9h 16m,8.0
2021-07-14T21:59:05.915703+00:00 8h 10m,7.0
2021-07-15T21:59:05.025737+00:00 8h 14m,7.0
2021-07-16T21:59:05.423351+00:00 8h 19m,7.0
2021-07-17T21:59:05.471809+00:00 9h 25m,8.0
2021-07-18T21:59:05.031775+00:00 10h 45m,9.0
2021-07-19T21:59:05.026649+00:00 11h 32m,10.0
2021-07-20T21:59:05.026317+00:00 14h 23m,12.0
2021-07-21T21:59:05.944968+00:00 15h 25m,12.0
2021-07-22T21:59:05.025042+00:00 15h 24m,13.0
2021-07-23T21:59:05.032310+00:00 15h 31m,13.0
2021-07-24T21:59:05.031633+00:00 14h 1m,11.0
2021-07-25T21:59:05.027656+00:00 15h 1m,13.0
2021-07-26T21:59:05.073831+00:00 14h 40m,12.0
2021-07-27T21:59:05.076031+00:00 14h 39m,12.0
2021-07-28T21:59:05.072256+00:00 13h 42m,11.0
2021-07-29T21:59:05.026507+00:00 14h 24m,12.0
2021-07-30T21:59:05.028644+00:00 12h 16m,10.0
2021-07-31T21:59:05.029137+00:00 11h 35m,8.0
2021-08-01T21:59:05.056791+00:00 10h 45m,9.0
2021-08-02T21:59:05.028842+00:00 11h 15m,9.0
2021-08-03T21:59:05.037997+00:00 11h 26m,10.0
2021-08-04T21:59:05.521492+00:00 10h 31m,9.0
2021-08-05T21:59:05.029665+00:00 11h 14m,9.0
2021-08-06T21:59:05.027195+00:00 9h 33m,7.0
2021-08-07T21:59:05.057011+00:00 11h 7m,9.0
2021-08-08T21:59:05.030819+00:00 10h 19m,9.0
2021-08-09T21:59:05.024868+00:00 11h 25m,9.0
2021-08-10T21:59:05.021871+00:00 13h 11m,11.0
2021-08-11T21:59:05.033832+00:00 14h 31m,12.0
2021-08-12T21:59:05.025291+00:00 15h 33m,12.0
2021-08-14T21:59:05.060384+00:00 15h 12m,14.0
2021-08-15T21:59:05.083937+00:00 16h 50m,13.0
2021-08-16T21:59:05.072969+00:00 15h 1m,12.0
2021-08-17T21:59:05.483461+00:00 12h 20m,10.0
2021-08-18T21:59:05.063550+00:00 11h 18m,9.0
2021-08-19T21:59:05.024713+00:00 11h 15m,9.0
2021-08-20T21:59:05.095588+00:00 12h 32m,10.0
2021-08-21T21:59:05.045345+00:00 13h 56m,11.0
2021-08-22T21:59:05.067895+00:00 13h 35m,11.0
2021-08-23T21:59:05.063937+00:00 13h 5m,11.0
2021-08-24T21:59:05.094526+00:00 12h 50m,10.0
2021-08-25T21:59:05.088601+00:00 13h 20m,11.0
2021-08-26T21:59:05.071983+00:00 14h 27m,12.0
2021-08-27T11:59:36.216633+00:00 4h 30m,3.0
2021-08-27T12:04:21.429921+00:00 4h 35m,4.0
2021-08-27T12:05:07.331813+00:00 4h 35m,4.0
2021-08-27T21:59:05.085960+00:00 13h 0m,10.0
2021-08-28T21:59:05.072347+00:00 12h 26m,11.0
2021-08-29T21:59:05.612290+00:00 12h 19m,10.0
2021-08-30T21:59:05.058459+00:00 12h 39m,11.0
2021-08-31T21:59:05.077730+00:00 13h 10m,11.0
2021-09-01T21:59:05.667422+00:00 13h 10m,11.0
2021-09-02T21:59:05.077454+00:00 11h 45m,9.0
2021-09-03T21:59:05.070260+00:00 11h 11m,10.0
2021-09-04T21:59:05.074493+00:00 11h 55m,10.0
2021-09-05T21:59:05.065845+00:00 13h 0m,11.0
2021-09-06T21:59:05.160724+00:00 14h 20m,12.0
2021-09-07T21:59:05.039806+00:00 14h 24m,11.0
2021-09-08T21:59:05.071373+00:00 13h 28m,12.0
2021-09-09T21:59:05.099663+00:00 11h 10m,9.0
2021-09-10T21:59:05.052760+00:00 10h 35m,9.0
2021-09-11T21:59:05.101813+00:00 11h 16m,9.0
2021-09-12T21:59:05.614379+00:00 12h 11m,10.0
2021-09-13T21:59:05.032890+00:00 11h 52m,10.0
2021-09-14T21:59:05.059081+00:00 11h 40m,10.0
2021-09-15T21:59:05.184443+00:00 11h 6m,9.0
2021-09-16T21:59:05.067402+00:00 9h 40m,8.0
2021-09-17T21:59:05.606213+00:00 9h 11m,8.0
2021-09-18T21:59:05.050578+00:00 7h 51m,7.0
2021-09-19T21:59:05.050629+00:00 7h 22m,6.0
2021-09-20T21:59:05.055839+00:00 6h 59m,6.0
2021-09-21T21:59:05.051169+00:00 6h 55m,6.0
2021-09-22T21:59:05.049115+00:00 7h 21m,6.0
2021-09-23T21:59:05.032706+00:00 8h 14m,7.0
2021-09-24T21:59:05.053769+00:00 8h 40m,8.0
2021-09-25T21:59:05.068262+00:00 9h 14m,7.0
2021-09-26T21:59:05.552060+00:00 9h 22m,8.0
2021-09-27T21:59:05.046976+00:00 8h 45m,8.0
2021-09-28T21:59:05.080845+00:00 8h 25m,7.0
2021-09-29T21:59:05.056651+00:00 7h 12m,6.0
2021-09-30T21:59:05.022182+00:00 7h 52m,8.0
2021-10-01T21:59:05.094746+00:00 7h 36m,6.0
2021-10-02T21:59:05.123224+00:00 7h 29m,7.0
2021-10-03T21:59:05.039639+00:00 6h 50m,5.0
2021-10-04T21:59:05.059431+00:00 6h 24m,6.0
2021-10-05T21:59:05.045682+00:00 5h 15m,5.0
2021-10-06T21:59:05.022321+00:00 3h 0m,2.0
2021-10-07T21:59:05.041406+00:00 3h 0m,3.0
2021-10-08T21:59:05.047180+00:00 0m,1.0
2021-10-09T21:59:05.035044+00:00 4h 45m,4.0
2021-10-10T21:59:05.583457+00:00 4h 45m,4.0
2021-10-11T21:59:05.082044+00:00 4h 40m,4.0
2021-10-12T21:59:05.081392+00:00 3h 0m,3.0
2021-10-13T21:59:05.066518+00:00 5h 32m,5.0
2021-10-14T21:59:00.073798+00:00 4h 30m,4.0
2021-10-15T21:59:00.142518+00:00 4h 30m,4.0
2021-10-16T21:59:00.193799+00:00 4h 39m,4.0
2021-10-17T21:59:00.147272+00:00 3h 15m,3.0
2021-10-18T21:59:00.187012+00:00 4h 49m,4.0
2021-10-19T21:59:00.096758+00:00 6m,3.0
2021-10-20T21:59:00.219244+00:00 5h 5m,4.0
2021-10-21T21:59:00.226261+00:00 5h 9m,4.0
2021-10-22T21:59:00.221015+00:00 4h 59m,5.0
2021-10-23T21:59:00.206323+00:00 4h 45m,4.0
2021-10-24T21:59:00.154750+00:00 4h 13m,4.0
2021-10-25T21:59:00.205468+00:00 4h 34m,4.0
2021-10-26T21:59:00.243430+00:00 4h 35m,4.0
2021-10-27T21:59:00.174392+00:00 4h 34m,4.0
2021-10-28T21:59:00.243631+00:00 3h 18m,3.0
2021-10-29T21:59:00.249817+00:00 3h 0m,3.0
2021-10-30T21:59:00.244062+00:00 4h 20m,4.0
2021-10-31T22:59:00.370938+00:00 4h 25m,4.0
2021-11-01T22:59:00.247712+00:00 4h 19m,4.0
2021-11-02T22:59:00.317236+00:00 4h 14m,3.0
2021-11-03T22:59:00.226220+00:00 4h 5m,unknown
2021-11-04T22:59:00.463469+00:00 1h 57m,unknown
2021-11-05T22:59:00.220867+00:00 3h 50m,unknown
2021-11-06T22:59:00.232854+00:00 3h 45m,unknown
2021-11-07T22:59:00.328329+00:00 33m,unknown
2021-11-08T22:59:00.385646+00:00 2h 36m,2.0
2021-11-09T22:59:00.402554+00:00 1m,1.0
2021-11-10T22:59:00.239966+00:00 2m,0.0
2021-11-11T22:59:00.316512+00:00 2h 19m,2.0
2021-11-12T22:59:00.285428+00:00 2h 0m,2.0
2021-11-13T22:59:00.314865+00:00 2h 0m,2.0
2021-11-14T22:59:00.334042+00:00 2h 0m,2.0
2021-11-15T22:59:00.427910+00:00 3h 31m,4.0
2021-11-16T22:59:00.351197+00:00 2h 0m,2.0
2021-11-17T22:59:00.230467+00:00 2h 0m,2.0
2021-11-18T22:59:00.275316+00:00 2h 0m,2.0
2021-11-19T22:59:01.385234+00:00 2h 0m,2.0
2021-11-20T22:59:01.331664+00:00 19m,0.0
2021-11-21T22:59:00.765568+00:00 2h 0m,2.0
2021-11-22T22:59:00.794360+00:00 2h 0m,2.0
2021-11-23T22:59:01.520388+00:00 1h 59m,2.0
2021-11-24T22:59:00.324024+00:00 2h 0m,2.0
2021-11-25T22:59:00.196605+00:00 1h 51m,2.0
2021-11-26T22:59:00.251269+00:00 2h 45m,3.0
2021-11-27T22:59:00.194294+00:00 2h 44m,2.0
2021-11-28T22:59:00.607584+00:00 2h 35m,3.0
2021-11-29T22:59:00.404096+00:00 2h 25m,2.0
2021-11-30T22:59:00.422946+00:00 6h 58m,6.0
2021-12-01T22:59:00.574676+00:00 1h 35m,2.0
2021-12-02T22:59:00.360226+00:00 1h 34m,2.0
2021-12-03T22:59:00.218839+00:00 1h 30m,1.0
2021-12-04T22:59:00.184948+00:00 1h 35m,2.0
2021-12-05T22:59:00.184130+00:00 1h 35m,1.0
2021-12-06T22:59:00.324921+00:00 1h 34m,2.0
2021-12-07T22:59:00.360749+00:00 1h 33m,2.0
2021-12-08T22:59:00.313442+00:00 1h 31m,1.0
2021-12-09T22:59:00.423104+00:00 1h 34m,2.0
2021-12-10T22:59:00.934187+00:00 1h 35m,2.0
2021-12-11T22:59:00.283356+00:00 1h 35m,1.0
2021-12-12T22:59:00.265644+00:00 1h 35m,2.0
