Conso Electrique du jour en kWh notifications (Log started: 2021-03-26T13:38:53.999130+00:00)
--------------------------------------------------------------------------------

2021-04-30T21:59:00.351114+00:00 39.0,19,20,14.0,7,7,1.0,1,0,5.128,2.614100000000000,2.514099999999999,5.68,0,5.6759000000000000
2021-05-01T21:59:00.433538+00:00 32.0,18,14,3.0,1,2,1.0,1,0,5.031,2.54430000000000000,2.487400000000000000,7.69,2.4425000000000004,5.25090000000000010
2021-05-02T21:59:02.271365+00:00 34.0,19,15,6.0,3,3,0.0,0,0,8.713,3.8802000000000010,4.8329000000000000,4.04,0,4.0437999999999995
2021-05-03T21:59:00.045307+00:00 31.0,13,18,4.0,1,3,0.0,0,0,9.658,3.495900000000002,6.162499999999998,3.83,0,3.825800000000000
2021-05-04T21:59:00.036199+00:00 29.0,15,14,4.0,2,2,1.0,1,0,6.128,2.719299999999997,3.408700000000003,5.12,0,5.123200000000000
2021-05-05T21:59:00.140760+00:00 27.0,13,14,4.0,2,2,0.0,0,0,3.158,2.056700000000003,1.100799999999995,6.1,0,6.097100000000000
2021-05-06T21:59:00.048920+00:00 28.0,13,15,4.0,2,2,1.0,1,0,6.179,2.823199999999999,3.355899999999998,5.55,0,5.552700000000000
2021-05-07T21:59:00.038915+00:00 25.0,14,11,4.0,1,3,0.0,0,0,3.031,2.6375,0.3925,4.61,0,4.6122
2021-05-08T21:59:00.030532+00:00 31.0,15,16,10.0,4,6,0.0,0,0,3.0,2.6047,0.3950,5.06,0,5.0612
2021-05-09T21:59:00.032917+00:00 13.0,5,8,1.0,0,1,0.0,0,0,0.635,0.4067,0.2276,2.67,0,2.6678
2021-05-10T21:59:00.035938+00:00 6.0,6,0,0.0,0,0,0.0,0,0,0.069,0.0686,0,6.58,6.5794,0
2021-05-11T21:59:00.028637+00:00 21.0,14,7,1.0,1,0,0.0,0,0,5.584,4.8788,0.7050,2.41,0,2.4065
2021-05-12T21:59:00.548806+00:00 27.0,11,16,4.0,2,2,0.0,0,0,7.716,2.4125,5.3028,6.8,0.0826,6.7206
2021-05-13T21:59:00.034006+00:00 27.0,14,13,3.0,1,2,0.0,0,0,6.073,3.8465,2.2271,7.31,0,7.3132
2021-05-14T21:59:00.452554+00:00 33.0,20,13,5.0,2,3,1.0,1,0,4.241,3.8416,0.3988,8.54,0,8.5441
2021-05-15T21:59:01.036540+00:00 28.0,13,15,3.0,1,2,0.0,0,0,3.731,2.1524,1.5794,8.45,0.1020,8.3472
